	Log_Degree	Log_The number of genes	Degree	The number of genes
0	0.0	3.2188758248682006	1	25
1	0.6931471805599453	2.1972245773362196	2	9
2	1.0986122886681098	2.1972245773362196	3	9
3	1.3862943611198906	1.0986122886681098	4	3
4	1.6094379124341003	1.0986122886681098	5	3
5	1.9459101490553132	0.6931471805599453	7	2
6	2.0794415416798357	0.0	8	1
7	2.302585092994046	0.6931471805599453	10	2
8	2.5649493574615367	0.6931471805599453	13	2
9	3.1354942159291497	0.0	23	1
10	3.332204510175204	0.0	28	1
