	Log_Degree	Log_The number of genes	Degree	The number of genes
0	0.0	5.332718793265369	1	207
1	0.6931471805599453	4.499809670330265	2	90
2	1.0986122886681098	4.189654742026425	3	66
3	1.3862943611198906	3.4657359027997265	4	32
4	1.6094379124341003	3.367295829986474	5	29
5	1.791759469228055	2.772588722239781	6	16
6	1.9459101490553132	2.5649493574615367	7	13
7	2.0794415416798357	2.70805020110221	8	15
8	2.1972245773362196	2.8903717578961645	9	18
9	2.302585092994046	2.302585092994046	10	10
10	2.3978952727983707	2.772588722239781	11	16
11	2.4849066497880004	2.772588722239781	12	16
12	2.5649493574615367	2.3978952727983707	13	11
13	2.6390573296152584	2.302585092994046	14	10
14	2.70805020110221	2.0794415416798357	15	8
15	2.772588722239781	1.9459101490553132	16	7
16	2.833213344056216	0.6931471805599453	17	2
17	2.8903717578961645	0.6931471805599453	18	2
18	2.9444389791664403	1.3862943611198906	19	4
19	2.995732273553991	2.3978952727983707	20	11
20	3.044522437723423	1.0986122886681098	21	3
21	3.091042453358316	1.791759469228055	22	6
22	3.1354942159291497	2.4849066497880004	23	12
23	3.1780538303479458	1.3862943611198906	24	4
24	3.2188758248682006	1.791759469228055	25	6
25	3.258096538021482	0.6931471805599453	26	2
26	3.295836866004329	1.0986122886681098	27	3
27	3.332204510175204	1.3862943611198906	28	4
28	3.367295829986474	1.3862943611198906	29	4
29	3.4011973816621555	1.0986122886681098	30	3
30	3.4339872044851463	0.6931471805599453	31	2
31	3.4657359027997265	1.3862943611198906	32	4
32	3.4965075614664802	0.6931471805599453	33	2
33	3.5263605246161616	1.0986122886681098	34	3
34	3.5553480614894135	1.791759469228055	35	6
35	3.58351893845611	0.0	36	1
36	3.6109179126442243	0.0	37	1
37	3.6375861597263857	0.6931471805599453	38	2
38	3.6635616461296463	1.791759469228055	39	6
39	3.6888794541139363	0.6931471805599453	40	2
40	3.713572066704308	1.0986122886681098	41	3
41	3.7376696182833684	0.6931471805599453	42	2
42	3.7612001156935624	1.0986122886681098	43	3
43	3.784189633918261	2.0794415416798357	44	8
44	3.8066624897703196	1.0986122886681098	45	3
45	3.828641396489095	1.0986122886681098	46	3
46	3.8501476017100584	1.6094379124341003	47	5
